Track Number,Popularity,Danceability
2,0,0.677
2,0,0.695
4,0,0.636
1,0,0.813
3,0,0.813
2,54,0.408
5,33,0.524
5,2,0.65
1,61,0.756
5,0,0.645
2,0,0.681
4,2,0.623
1,0,0.688
5,81,0.704
11,68,0.648
2,54,0.935
2,79,0.64
1,71,0.367
1,69,0.695
6,0,0.32
3,0,0.521
3,53,0.471
1,0,0.692
11,51,0.555
13,0,0.72
8,0,0.683
16,5,0.804
12,14,0.791
20,0,0.903
1,0,0.672
13,76,0.664
9,7,0.484
5,0,0.518
1,86,0.631
2,12,0.57
4,0,0.791
2,41,0.49
4,18,0.495
7,19,0.468
11,20,0.303
3,29,0.313
9,21,0.416
1,30,0.548
5,21,0.406
1,0,0.712
1,10,0.725
1,73,0.632
1,74,0.632
4,0,0.599
1,62,0.698
1,71,0.671
1,0,0.652
1,57,0.503
1,85,0.765
4,35,0.455
10,71,0.52
5,0,0.604
6,30,0.558
1,37,0.679
17,66,0.565
9,30,0.558
11,31,0.758
6,80,0.492
1,0,0.625
15,32,0.406
7,10,0.796
14,30,0.528
3,7,0.449
2,81,0.584
7,32,0.505
8,60,0.743
5,0,0.33
3,73,0.862
1,0,0.662
1,45,0.737
